INFO 2025-03-15 16:38:49,599 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-15 16:38:50,141 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\email\utils.py first seen with mtime 1726060934.7276075
DEBUG 2025-03-15 16:38:50,141 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\json\scanner.py first seen with mtime 1733513942.9669077
DEBUG 2025-03-15 16:38:50,142 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\kombu\utils\uuid.py first seen with mtime 1739098038.9260926
DEBUG 2025-03-15 16:38:50,142 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1737627461.0939794
DEBUG 2025-03-15 16:38:50,142 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\lzma.py first seen with mtime 1718369318.507764
DEBUG 2025-03-15 16:38:50,142 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\urllib3\__init__.py first seen with mtime 1737556559.2555094
DEBUG 2025-03-15 16:38:50,142 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\core\__init__.py first seen with mtime 1737627460.9520516
DEBUG 2025-03-15 16:38:50,142 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\abc.py first seen with mtime 1718369318.296166
DEBUG 2025-03-15 16:38:50,143 autoreload File C:\ProjectsNab\Newss\News\NewsPaper\sign\apps.py first seen with mtime 1737556722.1880362
DEBUG 2025-03-15 16:38:50,143 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\stringprep.py first seen with mtime 1718369319.6723084
DEBUG 2025-03-15 16:38:50,144 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\gzip.py first seen with mtime 1718369317.952814
DEBUG 2025-03-15 16:38:50,146 autoreload File C:\ProjectsNab\Newss\News\NewsPaper\news\resources.py first seen with mtime 1736518284.3201106
DEBUG 2025-03-15 16:38:50,146 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1737627459.5719657
DEBUG 2025-03-15 16:38:50,147 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\click\_winconsole.py first seen with mtime 1739098038.4687016
DEBUG 2025-03-15 16:38:50,147 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1737627460.9900553
DEBUG 2025-03-15 16:38:50,147 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\encodings\aliases.py first seen with mtime 1718369317.7258313
DEBUG 2025-03-15 16:38:50,147 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\allauth\models.py first seen with mtime 1737555978.1531906
DEBUG 2025-03-15 16:38:50,147 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\ssl.py first seen with mtime 1726060988.858213
DEBUG 2025-03-15 16:38:50,148 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1737627460.9450512
DEBUG 2025-03-15 16:38:50,148 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\celery\utils\functional.py first seen with mtime 1740406340.223188
DEBUG 2025-03-15 16:38:50,148 autoreload File C:\ProjectsNab\Newss\News\NewsPaper\news\apps.py first seen with mtime 1739025817.6122935
DEBUG 2025-03-15 16:38:50,148 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1737627461.0839815
DEBUG 2025-03-15 16:38:50,148 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\charset_normalizer\utils.py first seen with mtime 1737556559.8158765
DEBUG 2025-03-15 16:38:50,148 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\middleware\cache.py first seen with mtime 1737627461.0799801
DEBUG 2025-03-15 16:38:50,148 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1737627460.9620514
DEBUG 2025-03-15 16:38:50,148 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1737627459.989863
DEBUG 2025-03-15 16:38:50,149 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\DLLs\_asyncio.pyd first seen with mtime 1738934488.400411
DEBUG 2025-03-15 16:38:50,149 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\core\serializers\json.py first seen with mtime 1737627460.988055
DEBUG 2025-03-15 16:38:50,149 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1737627461.1239798
DEBUG 2025-03-15 16:38:50,149 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\encodings\cp1251.py first seen with mtime 1718369317.7298138
DEBUG 2025-03-15 16:38:50,149 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\proactor_events.py first seen with mtime 1718369317.5246677
DEBUG 2025-03-15 16:38:50,149 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django_filters\constants.py first seen with mtime 1736853938.8446145
DEBUG 2025-03-15 16:38:50,150 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\apps\config.py first seen with mtime 1737627459.3559685
DEBUG 2025-03-15 16:38:50,150 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\db\models\base.py first seen with mtime 1737627461.0220551
DEBUG 2025-03-15 16:38:50,150 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1737627460.9570515
DEBUG 2025-03-15 16:38:50,150 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1737627460.9710515
DEBUG 2025-03-15 16:38:50,150 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1737627461.113994
DEBUG 2025-03-15 16:38:50,150 autoreload File C:\ProjectsNab\Newss\News\venv\Lib\site-packages\celery\utils\imports.py first seen with mtime 1740406340.223188
